datesold,price,propertyType,bedrooms
7/10/08 0:00,860000,house,2
7/11/08 0:00,418000,house,3
7/11/08 0:00,442000,house,4
7/14/08 0:00,360000,house,3
7/14/08 0:00,495000,house,4
7/16/08 0:00,468000,house,3
7/16/08 0:00,605000,house,3
7/16/08 0:00,1090000,house,4
7/17/08 0:00,558000,house,4
7/18/08 0:00,700000,house,3
7/18/08 0:00,1300000,house,4
7/19/08 0:00,320000,house,3
7/23/08 0:00,415000,house,3
7/23/08 0:00,480000,house,4
7/23/08 0:00,553000,house,4
7/23/08 0:00,885000,house,4
7/25/08 0:00,370000,house,4
7/26/08 0:00,564000,house,3
7/28/08 0:00,365000,house,3
7/29/08 0:00,927000,house,4
7/30/08 0:00,360000,house,3
7/30/08 0:00,390000,house,4
7/31/08 0:00,440000,house,4
8/1/08 0:00,430000,house,3
8/1/08 0:00,595000,house,3
8/4/08 0:00,365000,house,3
8/4/08 0:00,585000,house,3
8/4/08 0:00,602500,house,4
8/5/08 0:00,359000,house,3
8/5/08 0:00,475000,house,3
8/6/08 0:00,315000,house,3
8/6/08 0:00,320000,house,4
8/6/08 0:00,325000,house,4
8/6/08 0:00,341000,house,3
8/6/08 0:00,540000,house,4
8/7/08 0:00,395000,house,4
8/9/08 0:00,370000,house,3
8/9/08 0:00,620000,house,4
8/9/08 0:00,631000,house,4
8/11/08 0:00,405000,house,4
8/12/08 0:00,548000,house,3
8/13/08 0:00,405000,house,4
8/13/08 0:00,420000,house,3
8/13/08 0:00,531500,house,4
8/14/08 0:00,350000,house,2
8/15/08 0:00,365000,house,3
8/15/08 0:00,375000,house,3
8/15/08 0:00,402000,house,3
8/15/08 0:00,420000,house,3
8/15/08 0:00,550000,house,2
8/15/08 0:00,585000,house,4
8/18/08 0:00,279500,house,2
8/19/08 0:00,330000,house,3
8/19/08 0:00,360000,house,3
8/19/08 0:00,370000,house,3
8/20/08 0:00,405000,house,3
8/21/08 0:00,395000,house,3
8/21/08 0:00,490000,house,4
8/21/08 0:00,530000,house,5
8/21/08 0:00,680000,house,4
8/22/08 0:00,495000,house,4
8/22/08 0:00,805000,house,4
8/23/08 0:00,630000,house,4
8/25/08 0:00,400000,house,3
8/27/08 0:00,345000,house,3
8/27/08 0:00,440000,house,3
8/27/08 0:00,510000,house,4
8/28/08 0:00,310000,house,3
8/29/08 0:00,370000,house,4
8/29/08 0:00,465000,house,4
8/30/08 0:00,342000,house,3
9/1/08 0:00,380000,house,3
9/2/08 0:00,345000,house,3
9/2/08 0:00,370000,house,4
9/2/08 0:00,495000,house,4
9/2/08 0:00,541000,house,4
9/2/08 0:00,1380000,house,5
9/3/08 0:00,372000,house,3
9/3/08 0:00,415000,house,3
9/4/08 0:00,335000,house,3
9/4/08 0:00,1150000,house,5
9/5/08 0:00,387000,house,3
9/5/08 0:00,395000,house,3
9/5/08 0:00,400000,house,4
9/5/08 0:00,426000,house,3
9/5/08 0:00,552000,house,4
9/8/08 0:00,349000,house,3
9/8/08 0:00,360500,house,3
9/8/08 0:00,740000,house,3
9/10/08 0:00,371600,house,4
9/11/08 0:00,380000,house,3
9/11/08 0:00,450000,house,3
9/12/08 0:00,427000,house,4
9/13/08 0:00,477000,house,4
9/13/08 0:00,479000,house,3
9/15/08 0:00,321000,house,2
9/15/08 0:00,405000,house,3
9/16/08 0:00,357000,house,3
9/16/08 0:00,360000,house,4
9/16/08 0:00,365000,house,3
9/16/08 0:00,585000,house,4
9/17/08 0:00,343000,house,3
9/17/08 0:00,410000,house,3
9/17/08 0:00,420000,house,4
9/17/08 0:00,420000,house,3
9/17/08 0:00,720000,house,3
9/17/08 0:00,720000,house,5
9/18/08 0:00,320000,house,3
9/18/08 0:00,474000,house,4
9/18/08 0:00,860000,house,3
9/19/08 0:00,460000,house,3
9/19/08 0:00,592000,house,2
9/19/08 0:00,695000,house,5
9/20/08 0:00,346000,house,3
9/22/08 0:00,349950,house,3
9/22/08 0:00,355000,house,3
9/22/08 0:00,362000,house,3
9/22/08 0:00,373000,house,3
9/22/08 0:00,399000,house,4
9/22/08 0:00,422250,house,3
9/22/08 0:00,445000,house,3
9/22/08 0:00,475000,house,4
9/22/08 0:00,485000,house,5
9/22/08 0:00,560500,house,4
9/22/08 0:00,590000,house,4
9/22/08 0:00,595000,house,4
9/22/08 0:00,650000,house,3
9/22/08 0:00,660000,house,4
9/22/08 0:00,675000,house,4
9/22/08 0:00,685000,house,4
9/22/08 0:00,690000,house,4
9/22/08 0:00,975000,house,3
9/23/08 0:00,372000,house,3
9/24/08 0:00,437000,house,3
9/25/08 0:00,411000,house,3
9/25/08 0:00,450000,house,4
9/25/08 0:00,525000,house,2
9/26/08 0:00,312000,house,3
9/26/08 0:00,510000,house,4
9/26/08 0:00,707500,house,4
9/26/08 0:00,755000,house,4
9/29/08 0:00,380000,house,4
9/29/08 0:00,389000,house,3
9/29/08 0:00,415000,house,3
9/29/08 0:00,557000,house,4
9/29/08 0:00,585000,house,4
9/29/08 0:00,595000,house,2
9/29/08 0:00,875000,house,5
9/30/08 0:00,367500,house,4
9/30/08 0:00,372000,house,3
9/30/08 0:00,549000,house,3
9/30/08 0:00,575000,house,4
9/30/08 0:00,594000,house,4
9/30/08 0:00,662500,house,2
10/1/08 0:00,455000,house,4
10/2/08 0:00,390000,house,3
10/3/08 0:00,332000,house,3
10/3/08 0:00,380000,house,3
10/3/08 0:00,405000,house,4
10/3/08 0:00,460000,house,4
10/7/08 0:00,355000,house,3
10/7/08 0:00,473000,house,4
10/7/08 0:00,560000,house,4
10/8/08 0:00,347000,house,3
10/8/08 0:00,359950,house,3
10/8/08 0:00,1030000,house,3
10/9/08 0:00,338500,house,3
10/10/08 0:00,378000,house,3
10/10/08 0:00,400000,house,4
10/10/08 0:00,453000,house,4
10/10/08 0:00,476600,house,4
10/10/08 0:00,677500,house,4
10/10/08 0:00,749950,house,4
10/12/08 0:00,390000,house,3
10/13/08 0:00,435000,house,3
10/13/08 0:00,507500,house,4
10/14/08 0:00,350000,house,3
10/14/08 0:00,399000,house,3
10/14/08 0:00,420000,house,4
10/14/08 0:00,450000,house,3
10/14/08 0:00,525000,house,2
10/14/08 0:00,595000,house,4
10/14/08 0:00,910000,house,3
10/15/08 0:00,395000,house,3
10/15/08 0:00,552500,house,3
10/16/08 0:00,375000,house,3
10/16/08 0:00,440000,house,3
10/17/08 0:00,352000,house,3
10/17/08 0:00,495000,house,4
10/17/08 0:00,530000,house,4
10/17/08 0:00,690000,house,3
10/18/08 0:00,342000,house,2
10/18/08 0:00,420000,house,3
10/18/08 0:00,575000,house,3
10/18/08 0:00,612000,house,4
10/20/08 0:00,349000,house,3
10/20/08 0:00,350000,house,3
10/20/08 0:00,480000,house,4
10/21/08 0:00,342000,house,3
10/21/08 0:00,372500,house,4
10/21/08 0:00,375000,house,3
10/21/08 0:00,408000,house,4
10/21/08 0:00,515000,house,4
10/22/08 0:00,370000,house,3
10/22/08 0:00,657500,house,4
10/23/08 0:00,340000,house,3
10/23/08 0:00,369000,house,3
10/23/08 0:00,419950,house,3
10/23/08 0:00,455000,house,3
10/23/08 0:00,495000,house,4
10/23/08 0:00,765000,house,4
10/24/08 0:00,361000,house,3
10/24/08 0:00,425000,house,3
10/24/08 0:00,498600,house,4
10/24/08 0:00,570000,house,4
10/27/08 0:00,330250,house,3
10/27/08 0:00,337000,house,3
10/27/08 0:00,360000,house,3
10/27/08 0:00,440000,house,3
10/27/08 0:00,475000,house,4
10/27/08 0:00,510000,house,4
10/27/08 0:00,1120000,house,4
10/28/08 0:00,340000,house,2
10/28/08 0:00,676000,house,4
10/29/08 0:00,420000,house,4
10/30/08 0:00,585000,house,4
10/30/08 0:00,720000,house,5
10/31/08 0:00,372000,house,3
10/31/08 0:00,395000,house,3
10/31/08 0:00,544000,house,4
10/31/08 0:00,581650,house,4
10/31/08 0:00,800000,house,3
11/3/08 0:00,330000,house,3
11/3/08 0:00,330000,house,3
11/3/08 0:00,350000,house,3
11/3/08 0:00,360000,house,3
11/3/08 0:00,424000,house,4
11/3/08 0:00,583000,house,4
11/5/08 0:00,359950,house,3
11/5/08 0:00,425000,house,3
11/5/08 0:00,475000,house,3
11/5/08 0:00,477500,house,4
11/5/08 0:00,1425000,house,3
11/6/08 0:00,345000,house,2
11/6/08 0:00,485000,house,3
11/6/08 0:00,557500,house,4
11/7/08 0:00,360000,house,3
11/7/08 0:00,395000,house,4
11/7/08 0:00,415000,house,4
11/7/08 0:00,435000,house,3
11/7/08 0:00,522000,house,4
11/7/08 0:00,757500,house,3
11/10/08 0:00,357000,house,3
11/10/08 0:00,542000,house,5
11/10/08 0:00,567000,house,4
11/10/08 0:00,623700,house,5
11/10/08 0:00,702500,house,4
11/11/08 0:00,324000,house,3
11/11/08 0:00,351000,house,3
11/11/08 0:00,449000,house,3
11/11/08 0:00,515000,house,4
11/12/08 0:00,342500,house,3
11/12/08 0:00,400000,house,3
11/12/08 0:00,462000,house,3
11/13/08 0:00,375000,house,3
11/14/08 0:00,385000,house,3
11/15/08 0:00,380000,house,3
11/15/08 0:00,418000,house,3
11/15/08 0:00,530000,house,2
11/17/08 0:00,350000,house,4
11/17/08 0:00,370000,house,3
11/17/08 0:00,379000,house,3
11/17/08 0:00,385000,house,3
11/17/08 0:00,438000,house,3
11/17/08 0:00,460000,house,4
11/17/08 0:00,635000,house,4
11/17/08 0:00,830000,house,4
11/17/08 0:00,950000,house,4
11/18/08 0:00,455000,house,4
11/18/08 0:00,540000,house,4
11/18/08 0:00,635000,house,3
11/18/08 0:00,950000,house,3
11/19/08 0:00,348000,house,3
11/19/08 0:00,460000,house,4
11/19/08 0:00,497000,house,4
11/19/08 0:00,515000,house,4
11/20/08 0:00,450000,house,3
11/20/08 0:00,475000,house,4
11/20/08 0:00,665000,house,4
11/21/08 0:00,350000,house,3
11/21/08 0:00,392500,house,3
11/21/08 0:00,450000,house,4
11/21/08 0:00,454000,house,3
11/21/08 0:00,475000,house,3
11/21/08 0:00,500000,house,4
11/21/08 0:00,730000,house,3
11/22/08 0:00,510000,house,4
11/22/08 0:00,640000,house,3
11/22/08 0:00,805000,house,4
11/24/08 0:00,387000,house,4
11/24/08 0:00,389950,house,3
11/24/08 0:00,393000,house,4
11/24/08 0:00,395000,house,3
11/24/08 0:00,468500,house,4
11/24/08 0:00,480000,house,3
11/24/08 0:00,485000,house,4
11/24/08 0:00,485000,house,4
11/24/08 0:00,500000,house,4
11/24/08 0:00,547500,house,4
11/24/08 0:00,565000,house,5
11/24/08 0:00,630000,house,3
11/25/08 0:00,490000,house,4
11/25/08 0:00,540000,house,5
11/25/08 0:00,630000,house,2
11/25/08 0:00,735000,house,5
11/26/08 0:00,326000,house,3
11/26/08 0:00,375000,house,2
11/26/08 0:00,453000,house,4
11/26/08 0:00,462500,house,4
11/26/08 0:00,580000,house,5
11/27/08 0:00,327500,house,3
11/27/08 0:00,390000,house,3
11/28/08 0:00,322500,house,3
11/28/08 0:00,335000,house,3
11/28/08 0:00,337500,house,3
11/28/08 0:00,345000,house,3
11/28/08 0:00,345000,house,3
11/28/08 0:00,351000,house,3
11/28/08 0:00,470000,house,3
11/28/08 0:00,540000,house,3
11/28/08 0:00,544000,house,4
11/28/08 0:00,1095000,house,4
11/28/08 0:00,1250000,house,3
11/29/08 0:00,375000,house,3
11/29/08 0:00,395000,house,3
12/1/08 0:00,327500,house,3
12/1/08 0:00,400000,house,3
12/1/08 0:00,450000,house,3
12/1/08 0:00,507500,house,3
12/1/08 0:00,940000,house,4
12/1/08 0:00,1050000,house,4
12/2/08 0:00,320000,house,3
12/2/08 0:00,349750,house,3
12/2/08 0:00,360000,house,4
12/2/08 0:00,410000,house,4
12/2/08 0:00,422500,house,4
12/2/08 0:00,464000,house,4
12/2/08 0:00,529000,house,3
12/2/08 0:00,557500,house,3
12/3/08 0:00,301000,house,3
12/3/08 0:00,320000,house,3
12/3/08 0:00,371000,house,4
12/3/08 0:00,374950,house,3
12/3/08 0:00,385150,house,3
12/3/08 0:00,399950,house,4
12/3/08 0:00,490000,house,5
12/3/08 0:00,512500,house,3
12/3/08 0:00,575000,house,4
12/4/08 0:00,340000,house,3
12/4/08 0:00,360000,house,3
12/4/08 0:00,420000,house,3
12/4/08 0:00,463000,house,4
12/4/08 0:00,470000,house,4
12/4/08 0:00,570000,house,4
12/4/08 0:00,680000,house,4
12/5/08 0:00,299000,house,3
12/5/08 0:00,309000,house,3
12/5/08 0:00,333000,house,2
12/5/08 0:00,430000,house,3
12/5/08 0:00,445000,house,3
12/5/08 0:00,455000,house,4
12/5/08 0:00,493000,house,5
12/5/08 0:00,505000,house,3
12/5/08 0:00,650000,house,3
12/6/08 0:00,378250,house,3
12/6/08 0:00,595000,house,3
12/6/08 0:00,600000,house,4
12/6/08 0:00,672000,house,4
12/8/08 0:00,314000,house,3
12/8/08 0:00,350000,house,3
12/8/08 0:00,355000,house,3
12/8/08 0:00,365000,house,3
12/8/08 0:00,431000,house,4
12/8/08 0:00,470000,house,4
12/8/08 0:00,525000,house,4
12/8/08 0:00,610000,house,4
12/8/08 0:00,855000,house,4
12/9/08 0:00,490000,house,4
12/9/08 0:00,540000,house,4
12/9/08 0:00,695000,house,4
12/10/08 0:00,335000,house,3
12/10/08 0:00,340000,house,3
12/10/08 0:00,385000,house,3
12/10/08 0:00,392000,house,3
12/10/08 0:00,420000,house,3
12/10/08 0:00,435000,house,2
12/10/08 0:00,435000,house,4
12/10/08 0:00,440000,house,3
12/10/08 0:00,480000,house,4
12/10/08 0:00,600000,house,4
12/11/08 0:00,520000,house,4
12/12/08 0:00,351000,house,4
12/12/08 0:00,355000,house,2
12/12/08 0:00,455000,house,3
12/12/08 0:00,470000,house,4
12/12/08 0:00,525000,house,5
12/12/08 0:00,665000,house,3
12/12/08 0:00,805000,house,4
12/13/08 0:00,775000,house,4
12/15/08 0:00,360000,house,3
12/15/08 0:00,373500,house,3
12/15/08 0:00,398000,house,3
12/15/08 0:00,405000,house,3
12/15/08 0:00,472000,house,4
12/15/08 0:00,505000,house,4
12/15/08 0:00,530000,house,4
12/15/08 0:00,625000,house,2
12/16/08 0:00,362500,house,3
12/16/08 0:00,413000,house,3
12/16/08 0:00,420000,house,4
12/16/08 0:00,520000,house,4
12/16/08 0:00,585000,house,4
12/17/08 0:00,378500,house,3
12/17/08 0:00,600000,house,4
12/17/08 0:00,720000,house,4
12/18/08 0:00,416500,house,3
12/18/08 0:00,420000,house,4
12/18/08 0:00,431600,house,4
12/19/08 0:00,339950,house,3
12/19/08 0:00,350000,house,3
12/19/08 0:00,380000,house,3
12/19/08 0:00,428250,house,3
12/19/08 0:00,439000,house,3
12/19/08 0:00,472000,house,4
12/19/08 0:00,499000,house,4
12/19/08 0:00,527000,house,5
12/19/08 0:00,550000,house,4
12/19/08 0:00,716000,house,3
12/19/08 0:00,900000,house,4
12/20/08 0:00,495000,house,3
12/20/08 0:00,540000,house,3
12/20/08 0:00,1375000,house,4
12/20/08 0:00,3500000,house,5
12/22/08 0:00,379000,house,3
12/22/08 0:00,390000,house,4
12/22/08 0:00,399500,house,3
12/22/08 0:00,456000,house,3
12/22/08 0:00,490000,house,4
12/22/08 0:00,585000,house,4
12/22/08 0:00,630000,house,4
12/22/08 0:00,855000,house,3
12/23/08 0:00,355000,house,3
12/23/08 0:00,361500,house,3
12/23/08 0:00,381000,house,3
12/23/08 0:00,390000,house,3
12/23/08 0:00,395000,house,3
12/23/08 0:00,444000,house,4
12/23/08 0:00,450000,house,4
12/23/08 0:00,452000,house,4
12/23/08 0:00,480000,house,4
12/23/08 0:00,500000,house,3
12/23/08 0:00,571000,house,3
12/24/08 0:00,310000,house,2
12/24/08 0:00,369950,house,3
12/24/08 0:00,385000,house,3
12/24/08 0:00,394000,house,3
12/24/08 0:00,400000,house,4
12/24/08 0:00,400000,house,3
12/24/08 0:00,400000,house,3
12/24/08 0:00,400000,house,3
12/24/08 0:00,499000,house,4
12/24/08 0:00,1057500,house,4
1/6/09 0:00,342500,house,3
1/6/09 0:00,450000,house,4
1/7/09 0:00,420000,house,3
1/8/09 0:00,394000,house,3
1/8/09 0:00,410000,house,4
1/8/09 0:00,411500,house,3
1/8/09 0:00,560000,house,4
1/9/09 0:00,383000,house,3
1/9/09 0:00,385000,house,3
1/9/09 0:00,420000,house,2
1/10/09 0:00,585000,house,4
1/10/09 0:00,590000,house,4
1/12/09 0:00,340500,house,3
1/12/09 0:00,410000,house,3
1/12/09 0:00,418000,house,3
1/12/09 0:00,470000,house,4
1/12/09 0:00,609950,house,4
1/12/09 0:00,630000,house,4
1/12/09 0:00,750000,house,5
1/13/09 0:00,420000,house,3
1/13/09 0:00,515000,house,4
1/13/09 0:00,637000,house,4
1/14/09 0:00,315000,house,3
1/14/09 0:00,400000,house,3
1/14/09 0:00,439000,house,4
1/15/09 0:00,330000,house,3
1/15/09 0:00,350000,house,3
1/15/09 0:00,440000,house,3
1/15/09 0:00,462500,house,4
1/15/09 0:00,465000,house,2
1/15/09 0:00,589000,house,3
1/15/09 0:00,640000,house,4
1/16/09 0:00,319950,house,3
1/16/09 0:00,456000,house,3
1/16/09 0:00,585000,house,4
1/19/09 0:00,400000,house,3
1/19/09 0:00,615000,house,4
1/19/09 0:00,688889,house,4
1/20/09 0:00,392000,house,3
1/20/09 0:00,425000,house,3
1/20/09 0:00,465000,house,4
1/20/09 0:00,500000,house,3
1/20/09 0:00,1150000,house,4
1/21/09 0:00,570000,house,4
1/22/09 0:00,308000,house,3
1/22/09 0:00,512000,house,4
1/22/09 0:00,575000,house,3
1/23/09 0:00,315000,house,3
1/23/09 0:00,317500,house,3
1/23/09 0:00,335000,house,3
1/23/09 0:00,360000,house,3
1/23/09 0:00,380000,house,4
1/23/09 0:00,394000,house,3
1/23/09 0:00,570000,house,4
1/23/09 0:00,890000,house,3
1/27/09 0:00,327000,house,3
1/27/09 0:00,350500,house,3
1/27/09 0:00,475000,house,4
1/27/09 0:00,750000,house,5
1/27/09 0:00,2100000,house,4
1/28/09 0:00,325000,house,3
1/28/09 0:00,365000,house,3
1/28/09 0:00,441000,house,4
1/28/09 0:00,450000,house,3
1/28/09 0:00,620000,house,4
1/29/09 0:00,341000,house,3
1/29/09 0:00,395000,house,3
1/29/09 0:00,550000,house,3
1/29/09 0:00,612000,house,4
1/30/09 0:00,450000,house,3
1/30/09 0:00,467500,house,3
1/30/09 0:00,476000,house,3
1/30/09 0:00,525000,house,4
1/30/09 0:00,601000,house,4
1/31/09 0:00,440000,house,3
1/31/09 0:00,495000,house,3
2/2/09 0:00,500000,house,5
2/2/09 0:00,622500,house,4
2/3/09 0:00,335000,house,2
2/3/09 0:00,339000,house,3
2/3/09 0:00,362000,house,3
2/3/09 0:00,390000,house,4
2/3/09 0:00,412000,house,3
2/3/09 0:00,420000,house,4
2/3/09 0:00,485000,house,2
2/3/09 0:00,605000,house,3
2/4/09 0:00,370000,house,3
2/4/09 0:00,440000,house,4
2/4/09 0:00,530000,house,4
2/5/09 0:00,340000,house,3
2/5/09 0:00,435000,house,4
2/5/09 0:00,438000,house,4
2/5/09 0:00,495000,house,4
2/5/09 0:00,620000,house,4
2/6/09 0:00,339000,house,3
2/6/09 0:00,500000,house,5
2/6/09 0:00,510000,house,4
2/6/09 0:00,535000,house,4
