Length,Diameter,Height,ShuckedWeight,VisceraWeight,ShellWeight,WholeWeight,NumRings,Sex
0.71,0.54,0.165,0.7665,0.261,0.78,1.959,18,M
0.595,0.48,0.165,0.4835,0.283,0.41,1.262,17,M
0.44,0.35,0.125,0.175,0.063,0.129,0.4035,9,F
0.325,0.26,0.09,0.085,0.036,0.062,0.1915,7,F
0.35,0.26,0.095,0.086,0.056,0.068,0.211,7,I
0.265,0.2,0.065,0.04,0.0205,0.028,0.0975,7,I
0.425,0.33,0.115,0.1635,0.081,0.1355,0.406,8,F
0.305,0.23,0.08,0.0675,0.0345,0.048,0.156,7,F
0.345,0.255,0.09,0.094,0.0295,0.063,0.2005,9,M
0.405,0.325,0.11,0.151,0.063,0.117,0.3555,9,F
0.375,0.285,0.095,0.096,0.0575,0.0925,0.253,9,M
0.565,0.445,0.155,0.341,0.2055,0.2475,0.826,10,F
0.55,0.45,0.145,0.295,0.1435,0.2665,0.741,10,F
0.65,0.52,0.19,0.519,0.306,0.4465,1.3445,16,M
0.56,0.455,0.155,0.34,0.19,0.2425,0.797,11,M
0.475,0.375,0.13,0.2075,0.1165,0.17,0.5175,10,M
0.49,0.38,0.125,0.245,0.1075,0.174,0.549,10,F
0.46,0.35,0.12,0.224,0.108,0.1565,0.515,10,M
0.28,0.205,0.08,0.052,0.039,0.042,0.127,9,I
0.175,0.13,0.055,0.0105,0.0065,0.0125,0.0315,5,I
0.17,0.13,0.095,0.013,0.008,0.01,0.03,4,I
0.59,0.475,0.145,0.4415,0.262,0.325,1.053,15,M
0.605,0.5,0.185,0.469,0.2585,0.335,1.1185,9,F
0.635,0.515,0.19,0.5065,0.305,0.45,1.3715,10,F
0.605,0.485,0.16,0.37,0.2355,0.355,1.0565,10,F
0.565,0.45,0.135,0.387,0.1495,0.31,0.9885,12,F
0.515,0.405,0.13,0.32,0.131,0.21,0.722,10,M
0.575,0.46,0.19,0.392,0.2425,0.34,0.994,13,F
0.645,0.485,0.215,0.546,0.2615,0.635,1.514,16,M
0.58,0.455,0.17,0.374,0.2135,0.285,0.9075,13,F
0.575,0.46,0.165,0.2985,0.1785,0.44,1.124,13,F
0.605,0.465,0.165,0.4215,0.2475,0.34,1.056,13,M
0.605,0.485,0.16,0.53,0.2575,0.28,1.222,13,F
0.61,0.485,0.175,0.544,0.297,0.345,1.2445,12,M
0.725,0.56,0.21,0.65,0.398,1.005,2.141,18,F
0.65,0.545,0.23,0.5605,0.2895,0.815,1.752,16,F
0.725,0.57,0.19,1.0705,0.483,0.725,2.55,14,M
0.725,0.575,0.175,0.765,0.4515,0.85,2.124,20,F
0.68,0.57,0.205,0.625,0.408,0.65,1.842,20,F
0.705,0.56,0.22,0.8175,0.3085,0.76,1.981,14,M
0.68,0.515,0.175,0.5125,0.409,0.62,1.6185,12,F
0.695,0.55,0.215,0.7125,0.541,0.59,1.9565,14,M
0.53,0.395,0.145,0.308,0.169,0.255,0.775,7,F
0.525,0.435,0.155,0.486,0.233,0.285,1.065,8,M
0.52,0.405,0.115,0.32,0.1845,0.22,0.776,8,F
0.235,0.16,0.04,0.0185,0.018,0.015,0.048,5,I
0.36,0.26,0.09,0.0645,0.037,0.075,0.1785,7,I
0.315,0.21,0.06,0.06,0.0375,0.035,0.125,5,I
0.315,0.245,0.085,0.053,0.0475,0.05,0.1435,8,I
0.225,0.16,0.045,0.025,0.015,0.015,0.0465,4,I
0.58,0.475,0.15,0.385,0.2165,0.35,0.97,11,M
0.57,0.48,0.18,0.399,0.2,0.295,0.9395,14,M
0.64,0.51,0.175,0.515,0.266,0.57,1.368,21,M
0.56,0.45,0.16,0.429,0.268,0.3,1.0235,10,F
0.62,0.475,0.175,0.4355,0.214,0.325,1.0165,10,F
0.645,0.51,0.2,0.621,0.367,0.46,1.5675,12,F
0.62,0.49,0.19,0.5455,0.2965,0.355,1.218,13,M
0.63,0.48,0.15,0.392,0.336,0.285,1.0525,12,F
0.63,0.5,0.185,0.54,0.3315,0.38,1.383,10,F
0.63,0.48,0.16,0.5265,0.335,0.315,1.199,11,F
0.585,0.46,0.17,0.365,0.271,0.29,0.9325,9,F
0.615,0.48,0.18,0.4845,0.2165,0.325,1.1595,13,M
0.61,0.485,0.17,0.419,0.2405,0.36,1.0225,12,M
0.58,0.45,0.15,0.276,0.1815,0.36,0.927,14,M
0.355,0.275,0.085,0.092,0.06,0.15,0.22,8,I
0.51,0.4,0.14,0.459,0.1965,0.195,0.8145,10,F
0.5,0.405,0.155,0.346,0.1535,0.245,0.772,12,M
0.505,0.41,0.15,0.285,0.145,0.21,0.644,11,F
0.64,0.5,0.185,0.4445,0.2635,0.465,1.3035,16,M
0.56,0.45,0.16,0.432,0.178,0.26,0.922,15,M
0.585,0.46,0.185,0.3635,0.213,0.285,0.922,10,M
0.45,0.345,0.12,0.1655,0.095,0.135,0.4165,9,F
0.5,0.4,0.165,0.254,0.205,0.285,0.825,13,M
0.5,0.4,0.145,0.234,0.1465,0.23,0.63,12,F
0.53,0.435,0.17,0.2985,0.155,0.275,0.8155,13,F
0.42,0.335,0.115,0.171,0.071,0.12,0.369,8,M
0.44,0.34,0.14,0.186,0.1085,0.16,0.482,9,F
0.4,0.3,0.11,0.109,0.067,0.12,0.315,9,I
0.435,0.34,0.11,0.1495,0.085,0.12,0.3795,8,I
0.525,0.415,0.17,0.2755,0.1685,0.31,0.8325,13,F
0.37,0.28,0.095,0.122,0.052,0.08,0.2655,7,I
0.49,0.365,0.145,0.1995,0.1625,0.22,0.6345,10,F
0.335,0.25,0.09,0.0755,0.0415,0.06,0.181,7,M
0.415,0.325,0.105,0.1595,0.0785,0.12,0.38,12,F
0.5,0.405,0.14,0.241,0.1355,0.205,0.6155,9,M
0.485,0.395,0.16,0.2475,0.128,0.235,0.66,14,F
0.55,0.405,0.14,0.244,0.1635,0.255,0.8025,10,M
0.45,0.35,0.13,0.174,0.111,0.135,0.46,8,M
0.405,0.3,0.12,0.1265,0.07,0.11,0.324,7,I
0.47,0.36,0.135,0.1665,0.115,0.165,0.501,10,M
0.415,0.305,0.13,0.1305,0.0755,0.105,0.32,8,F
0.445,0.325,0.125,0.1785,0.1125,0.14,0.455,9,F
0.47,0.35,0.145,0.187,0.1235,0.18,0.5175,11,F
0.49,0.375,0.15,0.22,0.144,0.19,0.5755,9,F
0.445,0.355,0.15,0.181,0.125,0.155,0.485,11,F
0.425,0.38,0.105,0.1285,0.0785,0.1,0.3265,10,I
0.5,0.37,0.135,0.1715,0.1055,0.155,0.45,9,F
0.39,0.29,0.125,0.121,0.082,0.09,0.3055,7,F
0.365,0.27,0.085,0.078,0.0485,0.07,0.205,7,I
0.58,0.465,0.165,0.404,0.2095,0.35,1.1015,11,F
0.53,0.415,0.16,0.2935,0.158,0.245,0.783,15,F
0.555,0.445,0.135,0.336,0.1625,0.275,0.836,13,M
0.565,0.44,0.175,0.31,0.193,0.325,0.9025,14,M
0.625,0.505,0.215,0.496,0.287,0.435,1.4455,22,M
0.275,0.215,0.075,0.0485,0.029,0.035,0.1155,7,I
0.44,0.35,0.135,0.1815,0.083,0.125,0.435,12,I
0.295,0.225,0.08,0.0485,0.032,0.04,0.124,9,I
0.075,0.055,0.01,0.001,0.0005,0.0015,0.002,1,I
0.13,0.1,0.03,0.0045,0.003,0.004,0.013,3,I
0.11,0.09,0.03,0.0025,0.002,0.003,0.008,3,I
0.16,0.12,0.035,0.0075,0.0045,0.005,0.021,5,I
0.565,0.425,0.16,0.3495,0.2185,0.275,0.9425,17,M
0.27,0.2,0.07,0.034,0.0245,0.035,0.1,5,I
0.23,0.175,0.065,0.026,0.0105,0.02,0.0645,5,I
0.3,0.23,0.08,0.0435,0.0265,0.04,0.1275,8,I
0.33,0.255,0.085,0.063,0.039,0.06,0.1655,8,I
0.35,0.26,0.085,0.0705,0.0345,0.06,0.174,10,I
0.32,0.245,0.08,0.0635,0.0325,0.05,0.1585,13,I
0.36,0.275,0.085,0.0745,0.0415,0.07,0.1975,9,I
0.305,0.245,0.075,0.0675,0.038,0.045,0.156,7,I
0.345,0.27,0.11,0.082,0.0545,0.07,0.2135,7,I
0.33,0.25,0.105,0.0655,0.035,0.06,0.1715,7,I
0.59,0.47,0.18,0.4205,0.2805,0.36,1.1235,13,M
0.595,0.455,0.155,0.5135,0.2165,0.3,1.0605,12,F
0.575,0.46,0.185,0.4485,0.217,0.345,1.094,15,F
0.6,0.495,0.165,0.485,0.2775,0.34,1.2415,15,M
0.56,0.45,0.175,0.3835,0.2065,0.37,1.011,15,M
0.56,0.45,0.185,0.3805,0.175,0.41,1.07,19,M
0.545,0.46,0.16,0.341,0.1655,0.345,0.8975,10,M
0.635,0.505,0.17,0.605,0.297,0.365,1.415,15,F
0.59,0.475,0.16,0.4775,0.2555,0.295,1.1015,13,F
0.54,0.475,0.155,0.394,0.194,0.26,0.928,11,F
0.57,0.44,0.125,0.3675,0.1725,0.27,0.865,12,F
0.53,0.42,0.165,0.319,0.239,0.245,0.8945,11,M
0.245,0.195,0.06,0.0445,0.0245,0.026,0.095,4,I
0.27,0.2,0.08,0.0465,0.028,0.04,0.1205,6,M
0.46,0.38,0.13,0.3,0.1525,0.16,0.639,11,F
0.52,0.45,0.15,0.3615,0.186,0.235,0.895,14,M
0.35,0.275,0.11,0.1225,0.0635,0.0905,0.2925,8,M
0.47,0.39,0.15,0.2185,0.0885,0.255,0.6355,9,M
0.45,0.36,0.125,0.2035,0.1,0.17,0.4995,13,F
0.64,0.525,0.215,0.4535,0.2855,0.55,1.779,22,F
0.59,0.5,0.2,0.412,0.2705,0.37,1.187,16,M
0.62,0.485,0.205,0.3875,0.2505,0.385,1.219,14,M
0.63,0.505,0.225,0.56,0.3335,0.45,1.525,15,M
0.63,0.515,0.155,0.4105,0.197,0.41,1.259,13,M
0.655,0.54,0.215,0.7425,0.327,0.585,1.844,22,M
0.66,0.53,0.185,0.493,0.245,0.49,1.3485,12,F
0.61,0.5,0.24,0.532,0.3345,0.69,1.642,18,M
0.635,0.525,0.205,0.55,0.3115,0.43,1.484,20,M
0.515,0.425,0.135,0.2665,0.1605,0.25,0.712,11,F
0.535,0.415,0.185,0.314,0.1585,0.3,0.8415,15,F
0.36,0.285,0.105,0.0915,0.057,0.075,0.2415,7,I
0.455,0.355,0.12,0.177,0.104,0.15,0.4495,9,F
0.485,0.395,0.14,0.2285,0.127,0.225,0.6295,14,M
0.515,0.38,0.175,0.325,0.158,0.31,0.9565,14,M
0.535,0.415,0.17,0.295,0.1965,0.285,0.879,10,F
0.53,0.435,0.155,0.288,0.1595,0.205,0.699,10,M
0.495,0.4,0.155,0.242,0.1325,0.205,0.6445,17,F
0.44,0.355,0.125,0.132,0.0815,0.19,0.4775,9,M
0.535,0.435,0.16,0.3155,0.1795,0.24,0.8105,10,F
0.54,0.435,0.18,0.3835,0.226,0.325,0.996,17,M
0.565,0.505,0.21,0.501,0.279,0.355,1.2765,12,F
0.61,0.475,0.165,0.428,0.2205,0.315,1.116,15,M
0.565,0.455,0.175,0.342,0.207,0.35,1.013,19,F
0.6,0.495,0.195,0.384,0.19,0.375,1.0575,26,M
0.295,0.215,0.085,0.049,0.034,0.04,0.128,6,I
0.275,0.205,0.075,0.045,0.0285,0.035,0.1105,6,I
0.28,0.21,0.085,0.039,0.0295,0.03,0.1065,4,I
0.49,0.395,0.14,0.2215,0.1275,0.15,0.549,11,M
0.37,0.28,0.105,0.0905,0.0585,0.075,0.234,9,M
0.405,0.305,0.095,0.1455,0.0895,0.1,0.3485,9,F
0.54,0.435,0.175,0.322,0.174,0.335,0.892,13,F
0.37,0.28,0.1,0.1065,0.0595,0.074,0.252,8,M
0.36,0.27,0.1,0.0885,0.0495,0.0715,0.217,6,M
0.47,0.36,0.13,0.182,0.114,0.15,0.472,10,F
0.2,0.145,0.06,0.0125,0.0095,0.011,0.037,4,I
0.165,0.12,0.03,0.007,0.005,0.005,0.0215,3,I
0.645,0.515,0.24,0.471,0.369,0.535,1.5415,13,M
0.55,0.41,0.125,0.2505,0.1635,0.195,0.7605,14,M
0.57,0.435,0.145,0.3925,0.2355,0.275,0.9055,10,M
0.63,0.485,0.19,0.4635,0.3055,0.39,1.2435,21,F
0.56,0.44,0.14,0.443,0.2045,0.265,0.971,14,M
0.595,0.455,0.195,0.4595,0.3235,0.345,1.3305,19,M
0.62,0.47,0.2,0.381,0.27,0.435,1.2255,23,F
0.63,0.485,0.175,0.4335,0.2945,0.46,1.3,23,M
0.45,0.355,0.11,0.194,0.067,0.14,0.4585,8,I
0.635,0.535,0.19,0.576,0.2475,0.39,1.242,14,F
0.45,0.35,0.1,0.1465,0.1015,0.12,0.3675,10,M
0.58,0.455,0.155,0.315,0.1385,0.32,0.8365,18,F
0.33,0.255,0.095,0.066,0.0255,0.06,0.172,6,I
0.265,0.21,0.06,0.0425,0.022,0.03,0.0965,5,I
0.19,0.145,0.04,0.0165,0.0065,0.015,0.038,4,I
0.385,0.31,0.1,0.1065,0.075,0.1,0.2845,11,M
0.265,0.205,0.07,0.039,0.041,0.035,0.1055,5,I
0.335,0.265,0.105,0.0935,0.056,0.075,0.222,7,M
0.355,0.275,0.09,0.097,0.053,0.08,0.251,7,I
0.32,0.255,0.1,0.073,0.0415,0.065,0.1755,7,I
0.51,0.4,0.13,0.27,0.1665,0.205,0.6435,12,M
0.36,0.295,0.105,0.0865,0.053,0.095,0.241,8,M
0.36,0.28,0.09,0.0885,0.04,0.09,0.2255,8,I
0.5,0.38,0.155,0.2135,0.161,0.2,0.5955,12,M
0.4,0.325,0.12,0.134,0.0565,0.095,0.3185,8,F
0.3,0.22,0.08,0.0475,0.042,0.035,0.121,5,I
0.235,0.175,0.04,0.0335,0.015,0.02,0.0705,5,I
0.74,0.6,0.195,0.598,0.4085,0.71,1.974,16,F
0.62,0.465,0.19,0.5705,0.3175,0.355,1.3415,11,M
0.6,0.475,0.19,0.403,0.2655,0.325,1.0875,14,M
0.59,0.45,0.185,0.473,0.276,0.425,1.283,16,M
0.62,0.475,0.185,0.6045,0.325,0.33,1.325,13,M
0.565,0.45,0.195,0.406,0.2505,0.285,1.0035,15,F
0.575,0.455,0.145,0.581,0.2275,0.3,1.165,14,M
0.62,0.51,0.205,0.4775,0.2565,0.48,1.3475,14,F
0.62,0.465,0.185,0.579,0.3065,0.32,1.274,12,M
0.505,0.375,0.18,0.2325,0.1495,0.17,0.568,12,F
0.46,0.425,0.155,0.3005,0.152,0.24,0.746,8,F
0.49,0.39,0.14,0.2795,0.2185,0.18,0.707,13,M
0.525,0.42,0.16,0.2745,0.173,0.275,0.756,9,F
0.34,0.26,0.08,0.08,0.0555,0.055,0.2,6,I
0.375,0.305,0.115,0.092,0.074,0.09,0.2715,8,I
0.61,0.48,0.15,0.56,0.2455,0.28,1.2,14,M
0.61,0.495,0.185,0.536,0.2905,0.245,1.153,8,F
0.585,0.45,0.17,0.3325,0.1635,0.27,0.8685,22,F
0.57,0.46,0.14,0.4465,0.2065,0.245,0.9535,12,M
0.58,0.455,0.17,0.408,0.259,0.22,0.93,9,M
0.635,0.515,0.17,0.509,0.286,0.34,1.275,16,M
0.7,0.58,0.205,0.7415,0.49,0.58,2.13,20,M
0.675,0.525,0.185,0.6935,0.336,0.395,1.587,13,M
0.645,0.525,0.19,0.7035,0.3885,0.395,1.8085,18,F
0.745,0.585,0.215,0.9265,0.472,0.7,2.499,17,M
0.685,0.545,0.18,0.7495,0.392,0.485,1.768,16,F
0.605,0.49,0.18,0.48,0.287,0.35,1.227,18,M
0.59,0.465,0.15,0.392,0.246,0.34,0.997,12,F
0.65,0.525,0.175,0.61,0.2995,0.445,1.4225,20,F
0.6,0.48,0.15,0.4085,0.2705,0.295,1.029,16,F
0.62,0.5,0.175,0.4985,0.3015,0.35,1.186,12,F
0.63,0.515,0.16,0.4215,0.244,0.355,1.016,19,M
0.58,0.465,0.145,0.4405,0.1655,0.265,0.887,11,M
0.58,0.455,0.12,0.479,0.2735,0.265,1.0735,10,F
0.63,0.49,0.18,0.458,0.2765,0.315,1.13,12,M
0.69,0.56,0.215,0.68,0.299,0.47,1.719,17,F
0.65,0.545,0.165,0.6645,0.3455,0.415,1.566,16,F
0.66,0.565,0.195,0.692,0.3265,0.5,1.7605,16,F
0.68,0.58,0.2,0.585,0.453,0.6,1.787,19,F
0.7,0.575,0.17,0.5095,0.314,0.42,1.31,14,F
0.685,0.52,0.15,0.4635,0.292,0.4,1.343,13,M
0.675,0.545,0.195,0.6845,0.3695,0.605,1.7345,20,F
0.63,0.49,0.19,0.4935,0.3365,0.285,1.1775,11,M
0.585,0.45,0.16,0.4995,0.2875,0.25,1.077,10,F
0.565,0.465,0.175,0.3895,0.183,0.37,0.995,15,M
0.61,0.495,0.185,0.3705,0.3135,0.33,1.1085,12,F
0.605,0.47,0.18,0.3755,0.2805,0.385,1.1405,15,M
0.535,0.42,0.145,0.33,0.189,0.25,0.791,10,M
0.485,0.4,0.135,0.313,0.137,0.2,0.663,10,M
0.47,0.375,0.12,0.226,0.122,0.195,0.5565,12,M
0.545,0.425,0.135,0.373,0.21,0.235,0.8445,10,M
0.455,0.37,0.105,0.216,0.1245,0.135,0.4925,9,F
0.54,0.42,0.155,0.3515,0.152,0.215,0.7385,12,M
0.46,0.38,0.135,0.207,0.1225,0.145,0.482,10,M
0.49,0.42,0.125,0.239,0.1435,0.22,0.609,14,M
0.465,0.375,0.12,0.222,0.119,0.14,0.471,9,I
0.415,0.325,0.1,0.1535,0.0595,0.105,0.3215,10,I
0.475,0.375,0.125,0.277,0.115,0.18,0.593,10,M
0.47,0.375,0.125,0.252,0.137,0.18,0.5615,10,F
0.365,0.295,0.095,0.1075,0.0545,0.08,0.25,9,I
0.345,0.275,0.095,0.0755,0.0535,0.07,0.1995,6,I
0.39,0.31,0.1,0.116,0.064,0.115,0.302,11,I
0.5,0.395,0.14,0.3165,0.176,0.24,0.7155,10,F
0.47,0.38,0.145,0.2385,0.144,0.185,0.5865,8,M
0.535,0.44,0.15,0.256,0.139,0.26,0.6765,12,M
0.585,0.455,0.15,0.4355,0.2075,0.31,0.987,11,M
0.485,0.365,0.12,0.27,0.131,0.175,0.5885,9,F
0.515,0.455,0.135,0.295,0.1625,0.235,0.7225,9,M
0.435,0.325,0.11,0.178,0.0985,0.155,0.4335,7,F
0.515,0.415,0.14,0.3115,0.152,0.2,0.6935,10,F
0.44,0.345,0.12,0.1655,0.083,0.11,0.365,7,I
0.525,0.44,0.15,0.3685,0.1985,0.24,0.8425,12,F
0.45,0.355,0.115,0.2125,0.1045,0.15,0.479,8,M
0.59,0.485,0.12,0.39,0.182,0.29,0.911,16,M
0.555,0.45,0.145,0.4,0.246,0.285,0.915,11,M
0.57,0.44,0.095,0.3395,0.2215,0.235,0.827,8,M
0.59,0.5,0.165,0.4565,0.2425,0.34,1.1045,15,M
0.585,0.475,0.12,0.41,0.2115,0.28,0.945,14,M
0.58,0.46,0.12,0.4625,0.2385,0.28,0.9935,11,F
0.545,0.44,0.12,0.3475,0.1715,0.24,0.8565,12,M
0.605,0.495,0.17,0.528,0.2465,0.39,1.2385,14,F
